goals,assists,shots_ontarget,shots_offtarget,chances2score,keypasses,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,tballs_acc,tballs_inacc,drib_success,drib_unsuccess,touches,poss_lost,tackles,interceptions,clearances,stop_shots,dribbled_past,aerials_w,aerials_l,grduels_w,grduels_l,fouls,wasfouled,ycards,rcards,dangmistakes,saves_itb,saves_otb,saved_pen,goals_ag_itb,goals_ag_otb,shotsblocked,countattack,offsides,missed_penalties,owngoals,minutesPlayed,game_duration,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Probability
0,0,0,1,1,0,49,5,0,2,2,1,0,0,0,0,76,14,0,4,4,0,1,2,2,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,2,0,0,4,1.0
0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999810508771
0,0,0,0,0,0,10,1,0,0,3,1,0,0,0,0,17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.9999999997726121
0,0,0,0,0,0,10,1,0,0,3,1,0,0,0,0,17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.9999999997726121
0,0,0,0,0,0,10,1,0,0,3,1,0,0,0,0,17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,3,0.9999999997726121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999546494972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,1,0,2,0.9999999546494972
0,0,0,0,0,0,16,3,0,1,1,2,0,0,0,0,29,5,1,3,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999863845234
0,0,0,0,0,0,16,3,0,1,1,2,0,0,0,0,29,5,1,3,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999863845234
0,0,0,0,0,0,16,3,0,1,1,2,0,0,0,0,29,5,1,3,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999863845234
0,0,0,0,0,0,16,3,0,1,1,2,0,0,0,0,29,5,1,3,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,3,0.9999999863845234
0,0,0,0,1,0,31,4,2,0,8,1,0,0,1,0,47,8,0,1,2,0,0,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,1,0,31,4,2,0,8,1,0,0,1,0,47,8,0,1,2,0,0,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,1,0,31,4,2,0,8,1,0,0,1,0,47,8,0,1,2,0,0,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,4,1.0
0,0,0,0,0,0,16,4,0,0,3,1,0,0,0,0,31,7,3,1,1,0,0,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,76,90,0,0,0,0,0.9999999999495373
0,0,0,0,0,0,16,4,0,0,3,1,0,0,0,0,31,7,3,1,1,0,0,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,76,90,0,0,0,0,0.9999999999495373
0,0,0,0,0,0,16,4,0,0,3,1,0,0,0,0,31,7,3,1,1,0,0,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,76,90,0,0,0,0,0.9999999999495373
0,0,0,0,0,0,30,4,0,0,2,2,0,1,0,0,41,6,1,0,0,0,0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,90,0,0,0,0,0.9999999963190334
0,0,0,0,0,0,30,4,0,0,2,2,0,1,0,0,41,6,1,0,0,0,0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,90,0,0,0,0,0.9999999963190334
0,0,0,0,0,0,30,4,0,0,2,2,0,1,0,0,41,6,1,0,0,0,0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,90,0,0,0,0,0.9999999963190334
0,0,0,0,0,0,14,5,0,0,3,3,0,0,0,0,24,8,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999963780652
0,0,0,0,0,0,14,5,0,0,3,3,0,0,0,0,24,8,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999963780652
0,0,0,0,0,0,14,5,0,0,3,3,0,0,0,0,24,8,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1,0,0,3,0.9999999963780652
